Name(Chinese),Name(English),Location(Chinese),Location(English),AdditionalInfo
松滿路,Chung Mun Road,東涌,Tung Chung,None
頌雅路,Chung Nga Road,大埔,Tai Po,None
眾安街,Chung On Street,荃灣,Tsuen Wan,None
松柏路,Chung Pak Road,大圍,Tai Wai,None
鍾山台,Chung Shan Terrace,荔枝角,Lai Chi Kok,None
鐘聲徑,Chung Sing Path,元朗,Yuen Long,None
中心里,Chung Sum Lane,長洲,Cheung Chau,None
忠信街,Chung Sun Street,土瓜灣,To Kwa Wan,None
重華路,Chung Wa Road,將軍澳,Tseung Kwan O,None
松慧街,Chung Wai Street,東涌,Tung Chung,None
中和里,Chung Wo Lane,中環,Central,None
中匯街,Chung Wui Street,大角咀,Tai Kok Tsui,None
松仁路,Chung Yan Road,東涌,Tung Chung,None
松逸街,Chung Yat Street,東涌,Tung Chung,None
忠義街,Chung Yee Street,何文田,Ho Man Tin,None
忠賢里,Chung Yin Lane,清水灣,Clear Water Bay,None
中英街,Chung Ying Street,沙頭角,Sha Tau Kok,None
涌業路,Chung Yip Road,元朗,Yuen Long,None
教堂里,Church Lane,筲箕灣,Shau Kei Wan,None
教堂街,Church Street,筲箕灣,Shau Kei Wan,None
弓絃巷,Circular Pathway,上環,Sheung Wan,None
城市花園道,City Garden Road,北角,North Point,None
加倫台,Clarence Terrace,西營盤,Sai Ying Pun,None
利牧徑,Claymore Avenue,薄扶林,Pok Fu Lam,None
清水灣道,Clear Water Bay Road,清水灣、牛池灣,"Clear Water Bay, Ngau Chi Wan",None
金文泰道,Clementi Road,銅鑼灣,Causeway Bay,governor
加寧街,Cleveland Street,銅鑼灣,Causeway Bay,None
急庇利街,Cleverly Street,上環,Sheung Wan,officials
石壁道,Cliff Road,油麻地,Yau Ma Tei,None
雲景道,Cloud View Road,北角,North Point,None
高化利徑,Clovelly Path,半山區,Mid-levels,None
會所街,Club Street,中環,Central,None
閣麟街,Cochrane Street,中環,Central,officer
書院道,College Road,九龍城,Kowloon City,None
育賢坊,College View,上環,Sheung Wan,None
歌連臣街,Collinson Street,石塘咀,Shek Tong Tsui,officials
康福台,Comfort Terrace,北角,North Point,None
協調道,Concorde Road,九龍灣,Kowloon Bay,None
干德道,Conduit Road,半山區,Mid-levels,None
康樂廣場,Connaught Place,中環,Central,royal
干諾道中,Connaught Road Central,中環、上環,"Central, Sheung Wan",royal
干諾道西,Connaught Road West,西營盤、上環,"Sai Ying Pun, Sheung Wan",royal
金粟街,Consort Rise,薄扶林,Pok Fu Lam,None
貨櫃碼頭路,Container Port Road,葵涌,Kwai Chung,None
貨櫃碼頭南路,Container Port Road South,葵涌,Kwai Chung,None
管制塔路,Control Tower Road,赤鱲角,Chek Lap Kok,None
會議道,Convention Avenue,灣仔,Wan Chai,None
曲街,Cooke Street,紅磡,Hung Hom,singlecn
甘道,Coombe Road,山頂,The Peak,singlecn
谷柏道,Cooper Road,銅鑼灣,Causeway Bay,officials
歌和老街,Cornwall Street,九龍塘、石硤尾、深水埗,"Kowloon Tong, Shek Kip Mei, Sham Shui Po",british-p
嘉拿多徑,Coronado Avenue,元朗,Yuen Long,california
加冕台,Coronation Terrace,半山區,Mid-levels,None
海堤徑,Costa Avenue,愉景灣,Discovery Bay,None
棉花路,Cotton Path,銅鑼灣,Causeway Bay,None
紅棉路,Cotton Tree Drive,金鐘、中環,"Admiralty, Central",None
覺士徑,Cox's Path,油麻地,Yau Ma Tei,None
覺士道,Cox's Road,油麻地,Yau Ma Tei,None
忌利文道,Craigmin Road,山頂,The Peak,None
祈禮士道,Creasy Road,銅鑼灣,Causeway Bay,None
海底隧道,Cross Harbour Tunnel,尖沙咀,Tsim Sha Tsui,None
交加里,Cross Lane,灣仔,Wan Chai,None
交加街,Cross Street,灣仔,Wan Chai,None
冠冕台,Crown Terrace,薄扶林,Pok Fu Lam,None
金巴倫道,Cumberland Road,九龍塘,Kowloon Tong,british-p
數碼港道,Cyberport Road,薄扶林,Pok Fu Lam,None
翠柏路,Cypress Drive,元朗,Yuen Long,None
德己立街,D'Aguilar Street,中環,Central,officer
大昌街,Dai Cheong Street,大埔,Tai Po,None
大發街,Dai Fat Street,大埔,Tai Po,None
大富街,Dai Fu Street,大埔,Tai Po,None
大福街,Dai Fuk Street,大埔,Tai Po,None
大喜街,Dai Hei Street,大埔,Tai Po,None
大鴻街,Dai Hung Street,大埔,Tai Po,None
大景街,Dai King Street,大埔,Tai Po,None
大貴街,Dai Kwai Street,大埔,Tai Po,None
大利街,Dai Li Street,大埔,Tai Po,None
大鵬街,Dai Pang Street,汀角,Ting Kok,None
大盛街,Dai Shing Street,大埔,Tai Po,None
大順街,Dai Shun Street,大埔,Tai Po,None
大華街,Dai Wah Street,大埔,Tai Po,None
大宏街,Dai Wang Street,大埔,Tai Po,None
德高道,Dakota Drive,九龍灣,Kowloon Bay,None
道揚路,Dao Yang Road,粉嶺,Fanling,None
爹核里,David Lane,西營盤,Sai Ying Pun,None
爹核士街,Davis Street,堅尼地城,Kennedy Town,governor
朝暉路,Dawn Drive,元朗,Yuen Long,None
深灣路,Deep Bay Road,流浮山、元朗,"Lau Fau Shan, Yuen Long",None
深水灣徑,Deep Water Bay Drive,深水灣,Deep Water Bay,None
深水灣道,Deep Water Bay Road,深水灣、淺水灣,"Deep Water Bay, Repulse Bay",None
鹿茵徑,Deerhill Path,大埔滘,Tai Po Kau,None
打比道,Derby Road,九龍塘,Kowloon Tong,british-p
德輔道中,Des Voeux Road Central,中環、上環,"Central, Sheung Wan",governor
德輔道西,Des Voeux Road West,西營盤、石塘咀、上環,"Sai Ying Pun, Shek Tong Tsui, Sheung Wan",governor
德雲道,Devon Road,九龍塘,Kowloon Tong,british-p
石竹路,Dianthus Road,又一村,Yau Yat Chuen,None
愉景灣道,Discovery Bay Road,愉景灣,Discovery Bay,None
愉景山道,Discovery Valley Road,愉景灣,Discovery Bay,None
船澳街,Dock Street,紅磡,Hung Hom,None
思高路,Don Bosco Road,長洲,Cheung Chau,None
多實街,Dorset Crescent,九龍塘,Kowloon Tong,british-p
德忌利士巷,Douglas Lane,中環,Central,None
德忌利士街,Douglas Street,中環,Central,None
皇龍道,Dragon Road,北角,North Point,None
金龍台,Dragon Terrace,北角,North Point,None
德立街,Drake Street,金鐘,Admiralty,ship
都爹利街,Duddell Street,中環,Central,officials
公爵街,Duke Street,九龍塘,Kowloon Tong,None
東寶庭道,Dumbarton Road,九龍城,Kowloon City,british-p
登巴道,Dunbar Road,何文田,Ho Man Tin,british-p
登打士街,Dundas Street,旺角,Mong Kok,british-o
登發街,Dung Fat Street,荃灣,Tsuen Wan,None
對衡道,Durham Road,九龍塘,Kowloon Tong,british-p
戴亞街,Dyer Avenue,紅磡,Hung Hom,None
尖山隧道,Eagle's Nest Tunnel,石硤尾、深水埗,"Shek Kip Mei, Sham Shui Po",None
伯爵街,Earl Street,九龍塘,Kowloon Tong,None
東岸路,East Coast Road,赤鱲角,Chek Lap Kok,None
東堤,East Embankment,北角,North Point,singlecn
東九龍走廊,East Kowloon Corridor,土瓜灣,To Kwa Wan,None
麗港東街,East Laguna Street,茶果嶺,Cha Kwo Ling,None
東角道,East Point Road,銅鑼灣,Causeway Bay,None
義本道,Eastbourne Road,九龍塘,Kowloon Tong,british-p
東區海底隧道,Eastern Harbour Tunnel,茶果嶺,Cha Kwo Ling,None
東院道,Eastern Hospital Road,銅鑼灣,Causeway Bay,None
啟東道,Eastern Road,牛池灣、新蒲崗,"Ngau Chi Wan, San Po Kong",None
東邊街,Eastern Street,西營盤,Sai Ying Pun,None
東邊街北,Eastern Street North,西營盤,Sai Ying Pun,None
義德道,Ede Road,九龍塘,Kowloon Tong,None
愛丁堡廣場,Edinburgh Place,中環,Central,royal
電氣道,Electric Road,北角,North Point,None
電氣街,Electric Street,灣仔,Wan Chai,None
雅麗道,Elegance Road,觀塘、牛頭角,"Kwun Tong, Ngau Tau Kok",None
伊利近街,Elgin Street,中環、半山區,"Central, Mid-levels",british-o
榆樹街,Elm Street,大角咀,Tai Kok Tsui,None
基堤道,Embankment Road,又一村,Yau Yat Chuen,None
艷馬道,Emma Avenue,何文田,Ho Man Tin,None
雅息士道,Essex Crescent,九龍塘,Kowloon Tong,british-p
博覽道,Expo Drive,灣仔,Wan Chai,None
博覽道中,Expo Drive Central,灣仔、金鐘,"Wan Chai, Admiralty",None
博覽道東,Expo Drive East,灣仔,Wan Chai,None
伊沙里,Ezra's Lane,中環,Central,None
花屏路,Fa Peng Road,長洲,Cheung Chau,None
花圃街,Fa Po Street,又一村,Yau Yat Chuen,None
花園街,Fa Yuen Street,旺角,Mong Kok,None
工廠街,Factory Street,筲箕灣,Shau Kei Wan,None
快景路,Fai King Road,上水、古洞,"Sheung Shui, Kwu Tung",None
暉明路,Fai Ming Road,粉嶺,Fanling,None
錦繡花園大道,Fairview Park Boulevard,元朗,Yuen Long,None
錦繡大道東,Fairview Park Road East,潭尾、新田,"Tam Mei, San Tin",None
錦繡大道北,Fairview Park Road North,新田、潭尾,"San Tin, Tam Mei",None
錦繡大道南,Fairview Park Road South,元朗,Yuen Long,None
錦繡大道西,Fairview Park Road West,新田、潭尾,"San Tin, Tam Mei",None
粉錦公路,Fan Kam Road,粉嶺、上水、元朗,"Fanling, Sheung Shui, Yuen Long",None
粉嶺樓路,Fan Leng Lau Road,粉嶺,Fanling,None
繁華街,Fan Wa Street,茶果嶺、油塘,"Cha Kwo Ling, Yau Tong",None
粉嶺公路,Fanling Highway,粉嶺,Fanling,None
粉嶺車站路,Fanling Station Road,粉嶺,Fanling,None
幻想道,Fantasy Road,坪洲、馬灣,"Peng Chau, Ma Wan",None
農圃道,Farm Road,土瓜灣,To Kwa Wan,None
發興街,Fat Hing Street,上環,Sheung Wan,None
佛光街,Fat Kwong Street,紅磡、何文田,"Hung Hom, Ho Man Tin",None
佛光街天橋,Fat Kwong Street Flyover,紅磡,Hung Hom,None
發利街,Fat Lee Street,坪洲,Peng Chau,None
發祥街,Fat Tseung Street,長沙灣,Cheung Sha Wan,None
發祥街西,Fat Tseung Street West,深水埗,Sham Shui Po,None
發業里,Fat Yip Lane,荃灣,Tsuen Wan,None
阜財街,Fau Tsoi Street,元朗,Yuen Long,None
飛鳳街,Fei Fung Street,黃大仙,Wong Tai Sin,None
飛霞路,Fei Ha Road,清水灣,Clear Water Bay,None
飛鵝山道,Fei Ngo Shan Road,清水灣,Clear Water Bay,None
翡翠道,Fei Tsui Road,柴灣,Chai Wan,None
飛雲路,Fei Wan Road,清水灣,Clear Water Bay,None
分域碼頭街,Fenwick Pier Street,金鐘,Admiralty,None
分域街,Fenwick Street,灣仔,Wan Chai,None
渡船街,Ferry Street,油麻地、旺角,"Yau Ma Tei, Mong Kok",None
范信達道,Fessenden Road,九龍塘,Kowloon Tong,None
榕翠徑,Ficus Path,元朗,Yuen Long,None
快富街,Fife Street,旺角,Mong Kok,british-p
金融街,Finance Street,中環,Central,None
芬梨徑,Findlay Path,山頂、中環,"The Peak, Central",None
芬梨道,Findlay Road,山頂、中環,"The Peak, Central",None
芬尼街,Finnie Street,鰂魚涌,Quarry Bay,None
松樹街,Fir Street,大角咀,Tai Kok Tsui,None
火龍徑,Fire Dragon Path,銅鑼灣,Causeway Bay,None
第一巷,First Lane,銅鑼灣,Causeway Bay,None
第一街,First Street,西營盤,Sai Ying Pun,None
菲林明道,Fleming Road,灣仔,Wan Chai,officials
火石道,Flint Road,九龍塘,Kowloon Tong,british-p
花墟徑,Flower Market Path,又一村、旺角,"Yau Yat Chuen, Mong Kok",None
花墟道,Flower Market Road,旺角,Mong Kok,None
科進路,Fo Chun Road,大埔,Tai Po,None
科興街,Fo Hing Street,大埔滘,Tai Po Kau,None
科城路,Fo Shing Road,大埔滘,Tai Po Kau,None
火炭路,Fo Tan Road,火炭,Fo Tan,None
科研路,Fo Yin Road,大埔滘,Tai Po Kau,None
科業街,Fo Yip Street,元朗,Yuen Long,None
芳華里,Fong Wah Lane,慈雲山,Tsz Wan Shan,None
芳園路,Fong Yuen Road,馬灣,Ma Wan,None
富貴街,Foo Kwai Street,大角咀,Tai Kok Tsui,None
富明街,Foo Ming Street,銅鑼灣,Causeway Bay,None
富源街,Foo Yuen Street,新蒲崗,San Po Kong,None
福康街,Fook Hong Street,元朗,Yuen Long,None
福德街,Fook Tak Street,元朗,Yuen Long,None
福日徑,Fook Yat Path,元朗,Yuen Long,None
福蔭道,Fook Yum Road,北角,North Point,None
科士街,Forbes Street,堅尼地城,Kennedy Town,None
科發道,Forfar Road,九龍塘,Kowloon Tong,british-p
堡壘街,Fort Street,北角,North Point,None
炮台山道,Fortress Hill Road,北角,North Point,None
幸福街,Fortune Street,長沙灣,Cheung Sha Wan,None
符禮修路,Fraser Road,屯門,Tuen Mun,None
富昌徑,Fu Cheong Path,葵涌,Kwai Chung,None
富池徑,Fu Chi Path,牛池灣,Ngau Chi Wan,None
富忠里,Fu Chung Lane,大埔,Tai Po,None
富發里,Fu Fat Lane,屯門,Tuen Mun,None
虎坑路,Fu Hang Road,藍地,Lam Tei,None
符興街,Fu Hing Street,上水,Sheung Shui,None
富康街,Fu Hong Street,柴灣,Chai Wan,None
富強街,Fu Keung Street,黃大仙,Wong Tai Sin,None
富健街,Fu Kin Street,大圍,Tai Wai,None
富崗山路,Fu Kong Shan Road,梅窩,Mui Wo,None
富貴徑,Fu Kwai Path,葵涌,Kwai Chung,None
富美街,Fu Mei Street,橫頭磡,Wang Tau Hom,None
富美東街,Fu Mei Street East,橫頭磡,Wang Tau Hom,None
富寧街,Fu Ning Street,土瓜灣,To Kwa Wan,None
富安街,Fu On Street,橫頭磡,Wang Tau Hom,None
富坪街,Fu Peng Street,坪洲,Peng Chau,None
富寶路,Fu Po Road,馬鞍山,Ma On Shan,None
富善街,Fu Shin Street,大埔,Tai Po,None
富盛街,Fu Shing Street,藍地,Lam Tei,None
虎地坳道,Fu Tei Au Road,上水,Sheung Shui,None
富地路,Fu Tei Road,屯門,Tuen Mun,None
富田里,Fu Tin Lane,大圍,Tai Wai,None
富翠街,Fu Tsui Street,柴灣,Chai Wan,None
富東街,Fu Tung Street,東涌,Tung Chung,None
傅屋路,Fu Uk Road,葵涌,Kwai Chung,None
富華街,Fu Wah Street,荃灣,Tsuen Wan,None
富運街,Fu Wan Street,橫頭磡,Wang Tau Hom,None
富榮街,Fu Wing Street,荃灣,Tsuen Wan,None
輔仁街,Fu Yan Street,觀塘,Kwun Tong,None
富怡道,Fu Yee Road,柴灣,Chai Wan,None
富業街,Fu Yip Street,元朗,Yuen Long,None
富裕街,Fu Yue Street,橫頭磡,Wang Tau Hom,None
芙蓉山路,Fu Yung Shan Road,荃灣,Tsuen Wan,None
芙蓉街,Fu Yung Street,荃灣,Tsuen Wan,None
灰沙圍里,Fui Sha Wai Lane,元朗,Yuen Long,None
灰沙圍南路,Fui Sha Wai South Road,屏山,Ping Shan,None
灰窰角街,Fui Yiu Kok Street,荃灣,Tsuen Wan,None
灰窰里,Fui Yiu Lane,西貢,Sai Kung,None
福澤街,Fuk Chak Street,大角咀,Tai Kok Tsui,None
福祥街,Fuk Cheung Street,土瓜灣,To Kwa Wan,None
福至街,Fuk Chi Street,紅磡,Hung Hom,None
福恆街,Fuk Hang Street,元朗,Yuen Long,None
福亨村里,Fuk Hang Tsuen Lane,藍地,Lam Tei,None
福亨村徑,Fuk Hang Tsuen Path,洪水橋,Hung Shui Kiu,None
福亨村路,Fuk Hang Tsuen Road,藍地,Lam Tei,None
福喜街,Fuk Hi Street,元朗,Yuen Long,None
福興里,Fuk Hing Lane,銅鑼灣,Causeway Bay,None
福群道,Fuk Kwan Avenue,銅鑼灣,Causeway Bay,None
福利街,Fuk Lee Street,大角咀,Tai Kok Tsui,None
福佬村道,Fuk Lo Tsun Road,九龍城,Kowloon City,None
福來里,Fuk Loi Lane,荃灣,Tsuen Wan,None
福樂徑,Fuk Lok Path,元朗,Yuen Long,None
福民路,Fuk Man Road,西貢,Sai Kung,None
福寧道,Fuk Ning Road,觀塘,Kwun Tong,None
福安里,Fuk On Lane,上環,Sheung Wan,None
福壽里,Fuk Sau Lane,西營盤,Sai Ying Pun,None
福盛徑,Fuk Shing Path,元朗,Yuen Long,None
福順街,Fuk Shun Street,元朗,Yuen Long,None
福田徑,Fuk Tin Path,元朗,Yuen Long,None
福淘街,Fuk To Street,牛頭角,Ngau Tau Kok,None
福塘道,Fuk Tong Road,觀塘,Kwun Tong,None
福全街,Fuk Tsun Street,大角咀,Tai Kok Tsui,None
福華街,Fuk Wa Street,深水埗,Sham Shui Po,None
福宏街,Fuk Wang Street,元朗,Yuen Long,None
福榮街,Fuk Wing Street,深水埗、長沙灣,"Sham Shui Po, Cheung Sha Wan",None
福和路,Fuk Wo Road,大埔,Tai Po,None
福欣街,Fuk Yan Street,元朗、天水圍,"Yuen Long, Tin Shui Wai",None
福元街,Fuk Yuen Street,北角,North Point,None
鳳翔路,Fung Cheung Road,元朗,Yuen Long,None
鳳池路,Fung Chi Road,元朗,Yuen Long,None
豐竹路,Fung Chuk Road,潭尾、新田,"Tam Mei, San Tin",None
鳳輝台,Fung Fai Terrace,跑馬地,Happy Valley,None
風帆徑,Fung Fan Path,長洲,Cheung Chau,None
峰霞道,Fung Ha Road,柴灣,Chai Wan,None
鳳香街,Fung Heung Street,元朗,Yuen Long,None
鳳琴街,Fung Kam Street,元朗,Yuen Long,None
逢吉鄉路,Fung Kat Heung Road,錦田,Kam Tin,None
鳳麒路,Fung Ki Road,元朗,Yuen Long,None
鳳降村路,Fung Kong Tsuen Road,天水圍,Tin Shui Wai,None
鳳群街,Fung Kwan Street,元朗,Yuen Long,None
鳳禮道,Fung Lai Road,鑽石山,Diamond Hill,None
豐樂里,Fung Lok Lane,元朗,Yuen Long,None
豐物道,Fung Mat Road,石塘咀,Shek Tong Tsui,None
鳳美徑,Fung Mei Path,鑽石山,Diamond Hill,None
鳳舞街,Fung Mo Street,黃大仙,Wong Tai Sin,None
鳳南里,Fung Nam Lane,上水,Sheung Shui,None
鳳南路,Fung Nam Road,上水,Sheung Shui,None
豐年路,Fung Nin Road,元朗,Yuen Long,None
豐安街,Fung On Street,屯門,Tuen Mun,None
鳳坪里,Fung Ping Lane,石硤尾、九龍塘,"Shek Kip Mei, Kowloon Tong",None
鳳秀路,Fung Sau Road,西貢,Sai Kung,None
豐石街,Fung Shek Street,大圍,Tai Wai,None
豐盛街,Fung Shing Street,牛池灣、鑽石山,"Ngau Chi Wan, Diamond Hill",None
楓樹窩路,Fung Shue Wo Road,青衣,Tsing Yi,None
豐順街,Fung Shun Street,沙田,Sha Tin,None
鳳德道,Fung Tak Road,黃大仙、鑽石山,"Wong Tai Sin, Diamond Hill",None
奉天街,Fung Tin Street,香港仔,Aberdeen,chi-place
逢源街,Fung Un Street,銅鑼灣,Causeway Bay,None
豐華街,Fung Wah Street,慈雲山,Tsz Wan Shan,None
豐運路,Fung Wan Road,大埔,Tai Po,None
豐禾里,Fung Wo Lane,沙田,Sha Tin,None
鳳凰台,Fung Wong Terrace,灣仔,Wan Chai,None
鳳攸東街,Fung Yau Street East,元朗,Yuen Long,None
鳳攸北街,Fung Yau Street North,元朗,Yuen Long,None
鳳攸南街,Fung Yau Street South,元朗,Yuen Long,None
鳳儀街,Fung Yi Street,土瓜灣,To Kwa Wan,None
豐業街,Fung Yip Street,柴灣,Chai Wan,None
鳳園路,Fung Yuen Road,大埔,Tai Po,None
結志街,Gage Street,中環,Central,officer
花園道,Garden Road,中環、半山區,"Central, Mid-levels",None
花園台,Garden Terrace,中環,Central,None
加士居道,Gascoigne Road,油麻地,Yau Ma Tei,officer
港威大道,Gateway Boulevard,尖沙咀,Tsim Sha Tsui,None
佐治里,George's Lane,上環,Sheung Wan,None
洋葵徑,Geranium Path,元朗,Yuen Long,None
機利士北路,Gillies Avenue North,紅磡,Hung Hom,None
機利士南路,Gillies Avenue South,紅磡,Hung Hom,None
機利文街,Gilman Street,中環,Central,None
機利文新街,Gilman's Bazaar,中環,Central,None
銀杏路,Ginkgo Road,元朗,Yuen Long,None
玻璃街,Glass Street,北角,North Point,None
吉利徑,Glee Path,荔枝角,Lai Chi Kok,None
己連拿利,Glenealy,中環,Central,None
告士打道,Gloucester Road,灣仔、銅鑼灣,"Wan Chai, Causeway Bay",royal
華梓徑,Gmelina Path,元朗,Yuen Long,None
金竹東路,Golden Bamboo Road East,元朗,Yuen Long,None
金竹北路,Golden Bamboo Road North,元朗,Yuen Long,None
黃金泳灘徑,Golden Beach Path,掃管笏,So Kwun Wat,None
金山路,Golden Hill Road,葵涌、大圍,"Kwai Chung, Tai Wai",None
高士美道,Goldsmith Road,銅鑼灣,Causeway Bay,None
牧愛街,Good Shepherd Street,何文田,Ho Man Tin,None
歌頓道,Gordon Road,北角,North Point,officials
歌賦山里,Gough Hill Path,山頂,The Peak,officer
歌賦山道,Gough Hill Road,山頂,The Peak,officer
歌賦街,Gough Street,中環,Central,officer
嘉咸街,Graham Street,中環,Central,officer
嘉林邊道,Grampian Road,九龍城,Kowloon City,british-p
瑰麗路,Grandeur Road,又一村,Yau Yat Chuen,None
嘉蘭圍,Granville Circuit,尖沙咀,Tsim Sha Tsui,british-o
加連威老道,Granville Road,尖沙咀,Tsim Sha Tsui,british-o
加連威老廣場,Granville Square,尖沙咀,Tsim Sha Tsui,british-o
記利佐治街,Great George Street,銅鑼灣,Causeway Bay,royal
箕璉坊,Green Lane,跑馬地,Happy Valley,None
基利坊,Greig Crescent,鰂魚涌,Quarry Bay,None
基利路,Greig Road,鰂魚涌,Quarry Bay,None
機利臣街,Gresson Street,灣仔,Wan Chai,None
僑福道,Guildford Road,山頂,The Peak,None
嘉齡道,Gullane Road,何文田,Ho Man Tin,british-p
吉士笠街,Gutzlaff Street,中環,Central,officials
下竹園路,Ha Chuk Yuen Road,潭尾、新田,"Tam Mei, San Tin",None
下鄉道,Ha Heung Road,土瓜灣,To Kwa Wan,None
下高灘街,Ha Ko Tan Street,青衣,Tsing Yi,None
廈尾路,Ha Mei Road,元朗,Yuen Long,None
蝦尾新村路,Ha Mei San Tsuen Road,天水圍,Tin Shui Wai,None
下新圍路,Ha San Wai Road,潭尾,Tam Mei,None
廈村路,Ha Tsuen Road,洪水橋、天水圍,"Hung Shui Kiu, Tin Shui Wai",None
下灣村東路,Ha Wan Tsuen East Road,新田,San Tin,None
下灣村路,Ha Wan Tsuen Road,新田,San Tin,None
下洋路,Ha Yeung Road,清水灣,Clear Water Bay,None
下洋新村路,Ha Yeung San Tsuen Road,清水灣,Clear Water Bay,None
海壇街,Hai Tan Street,深水埗,Sham Shui Po,None
凱榮路,Hai Wing Road,粉嶺,Fanling,None
海防道,Haiphong Road,尖沙咀,Tsim Sha Tsui,None
黑排路,Hak Pai Road,長洲,Cheung Chau,None
黑布街,Hak Po Street,旺角,Mong Kok,None
鹹田街,Ham Tin Street,荃灣,Tsuen Wan,None
鹹魚街,Ham Yu Street,西營盤,Sai Ying Pun,None
咸美頓街,Hamilton Street,油麻地,Yau Ma Tei,royal
斧山道,Hammer Hill Road,鑽石山、牛池灣,"Diamond Hill, Ngau Chi Wan",None
衡州道,Hampshire Road,九龍塘,Kowloon Tong,british-p
幸祥街,Hang Cheung Street,長沙灣,Cheung Sha Wan,None
恆智街,Hang Chi Street,馬鞍山,Ma On Shan,None
恆輝街,Hang Fai Street,馬鞍山,Ma On Shan,None
恆富街,Hang Fu Street,屯門,Tuen Mun,None
坑口道,Hang Hau Road,將軍澳,Tseung Kwan O,None
坑口永隆路,Hang Hau Wing Lung Road,清水灣,Clear Water Bay,None
恆康街,Hang Hong Street,馬鞍山,Ma On Shan,None
坑溪里,Hang Kai Lane,林村,Lam Tsuen,None
恆錦街,Hang Kam Street,馬鞍山,Ma On Shan,None
恆健街,Hang Kin Street,馬鞍山,Ma On Shan,None
